Date,Newspaper,Headline,News
18-Sep-18,City AM,Top pension boss to lead salary takeover fund,"THE FORMER chairman of the Pension Protection Fund (PPF), Lawrence Churchill, was yesterday appointed as the inaugural chairman of emerging consolidator firm Clara Pensions. The industry figure will bring 40 years of experience to the role at the company, which consolidates firms' historic defined benefit pension schemes. Clara says it acts as a ""bridge"" for members from their current company sponsor to the insured market. He will take up the role alongside current positions as chairman of the Pensions Policy Institute and chairman of the Independent Governance Committee for Prudential. Churchill said: ""Spurred on by encouragement from the government, financial consolidation for defined benefit pension schemes has emerged as the newest frontier. ""I am greatly looking forward to helping pioneer what will hopefully become the route of choice for transferring pension savers from their pension scheme to a safer insured future."" Adam Saron, chief exec of Clara, added: ""As a life-long advocate for putting the interests of members and savers above all else, Lawrence truly embodies the member-first spirit on which Clara is built."" It comes as companies, most recently British Airways, look to strike deals to insure their large pension scheme liabilities."
17-Sep-18,City AM,Abu Dhabi Financial Group offers revised bid for Abraaj's ME funds,"ABU DHABI Financial Group (ADFG) has submitted a revised bid to acquire the management rights for the Middle East funds of stricken Dubai-based Abraaj, according to a document seen by Reuters. The Abu Dhabi-based alternative investment firm is among more than 12 bidders seeking to buy most of Abraaj's private equity funds. However, in a letter to investors in Abraaj Funds, ADFG said that the bid is unlikely to materialise given the ""convolution"" of the situation. To address this, ADFG is seeking a dedicated budget to conduct a full forensic audit and a litigation budget. Its new offer includes up to $6m (£4.6m) for the audit and litigation financing as well as a $10m credit facility to fund the operations of the Middle East funds. The $10m is in addition to $10m earmarked separately for the fund manager's liabilities. ""Such a dedicated budget is crucial not only to seek damages from previous management but also to ensure recoverability of funds for investors in the Middle East funds,"" ADFG said in the letter seen by Reuters. ""This means there is a zero capital call requirement from all the 200 unique investors in the Middle East funds which will clear one of the major hurdles going forward for the protection of the assets."""
13-Sep-18,City AM,Sports Direct AGM fuels Debenhams and House of Frasermerger talk,"THE PROSPECT of a merger between troubled high street giants Debenhams and House of Fraser arose at the annual shareholders' meeting yesterday of retailer Sports Direct, which owns the former and has a major stake in the latter. Debenhams' share price rose nine per cent at the suggestion of a linkup, which came after a question about the idea was put to Sports Direct's senior non-executive director, Simon Bentley. Bentley's reply to the original question from a reporter was: ""It's been discussed,"" Reuters reported. However, Bentley, who announced yesterday he was stepping down from the board along with chairman Keith Hellawell, later denied he had said that. ""I was asked a general question about whether or not we discuss our strategic investments, and in particular Debenhams, to which I replied in the positive,"" he said. ""I made no mention of any merger between House of Fraser and Debenhams, nor did I intend my answer to infer that."" The UK's largest sports-goods retailer Sports Direct International - majority-owned by the colourful chairman of Newcastle United FC Mike Ashley - bought department store chain House of Fraser out of administration in August. The firm already had a 29 per cent stake in the Debenhams store group. Ashley also survived a potential shareholder backlash at the company's AGM yesterday, with just under 10 per cent of investors voting against the re-election of the billionaire retail magnate as chief executive."
13-Sep-18,City AM,IWG financial chief exits after halted takeover,"SHARED office provider IWG said yesterday its chief financial and operating officer Dominik de Daniel will leave the company to pursue other opportunities. The FTSE 250 firm ended speculation over a potential takeover last month, halting talks with suitors and sending shares toppling. The Regus owner said it had appointed Eric Hageman as interim chief financial officer. Hageman has experience as head of finance at a number of listed companies, including TeleCity Group. De Daniel's exit also follows the firm issuing a profit warning in June, saying the cost of new sites and a downturn in its British business due to Brexit uncertainty had hit the company. Doug Sutherland, chairman of IWG, said: ""On behalf of the board I would like to take this opportunity to thank Dominik for his leadership and significant contributions during his time at IWG. ""Completing his third year, Dominik leaves the group with a strong balance sheet to support our growth ambitions."" De Daniel said: ""IWG has a bright future in what has become a hugely exciting growth sector. IWG's market-leading position, unique national networks and global footprint, coupled with recent investments, will allow the group to further realise its full potential."""
11-Sep-18,Tech Crunch,Twilio’s contact center products just got more analytical with Ytica acquisition,"Twilio , a company best known for supplying a communications APIs for developers has a product called Twilio Flex for building sophisticated customer service applications on top of Twilio’s APIs. Today, it announced it was acquiring Ytica …"
10-Sep-18,Tech Crunch,Zendesk expands into CRM with Base acquisition,"Zendesk has mostly confined itself to customer service scenarios, but it seems that’s not enough anymore. If you want to truly know the customer behind the interaction, you need a customer system of record to go with the customer service …"
10-Sep-18,Tech Crunch,Intel acquires NetSpeed Systems to boost its system-on-a-chip business,"Intel today is announcing another acquisition as it continues to pick up talent and IP to bolster its next generation of computing chips beyond legacy PCs. The company has acquired NetSpeed Systems , a startup that makes system-on-chip …"
7-Sep-18,City AM,Melrose swings to loss after £8bn GKNacquisition,"MELROSE recorded a half-year loss following its acquisition of GKN but said it had found ""no black holes"" in the engineering giant it bought for £8.1bn in April. The turnaround company reported a statutory loss of £303m for the six months ending 30 June - compared with a pre-tax profit of £48m in the same period last year. Melrose said the aerospace and automotive business was meeting the board's expectations and that significant progress had already made. It said all GKN businesses were being managed successfully on a standalone basis, freed from head office bureaucracy, with improvement plans in place. Chairman Christopher Miller said: ""Plans have been agreed and are now being implemented to realise the full potential of GKN's world leading, but currently underdeveloped, businesses."" Those plans include a new global technology centre for aerospace in the UK, improving GKN's automotive factories in Europe and adding an engine repair facility in Asia. It also confirmed plans to explore strategic options for GKN's powder metallurgy business. GKN makes components for Boeing and Airbus and its Driveline business is used by the likes of Ford and Jaguar Land Rover."
6-Sep-18,City AM,CITY MOVES WHO'S SWITCHING JOBS,"FINANCIAL CONDUCT AUTHORITY The Financial Conduct Authority (FCA) has appointed Sheldon Mills as its new director of competition. Sheldon is currently senior director, mergers and state aid at the Competition and Markets Authority (CMA). At the CMA, Sheldon has overall leadership responsibility for the delivery of UK merger control across the entire economy and for the strategic design and implementation of the new UK State Aid regime. Sheldon was appointed senior director of mergers in 2014, having first held a senior directorship in 2013 at the Office of Fair Trading (OFT), the CMA's predecessor. Sheldon is a qualified solicitor and, before joining the OFT in 2010, practised competition and anti-trust law at City firms, SJ Berwin, Jones Day and K&L Gates. Sheldon is a trustee at Stonewall, the LGBT+ support and advocacy charity. JCDECAUX AIRPORT UK JCDecaux UK announces the appointment of Arianne Riddell as sales director of JCDecaux Airport, the UK's number one airport advertising company. Arianne joins from LinkedIn where she was global agency lead. Reporting to Alan Sullivan, managing director of JCDecaux Airport, Riddell will head the team responsible for commercial strategy and partnerships at Heathrow, Heathrow rail and Edinburgh airport. With 20 years' experience in the industry, Riddell has over seven years of digital and B2B expertise from LinkedIn across roles spanning the UK, EMEA and global markets. Prior to this she held roles at companies including: BBC Worldwide, H Bauer and We R Interactive. She will work to bring increased value to clients, agencies and specialists through ever more effective campaigns and strategic partnerships. HOWARD KENNEDY Law firm Howard Kennedy has strengthened its capital markets offering following the hire of corporate expert, James Wilson, into the partnership. With many years of experience in advising nomads and companies on the Alternative Investment Market (Aim), James has been hired to lead the Aim team at Howard Kennedy. James joins the firm from the corporate department of Holman Fenwick Willan (HFW), where he specialised in corporate finance transactions, M&A and a range of other corporate and commercial work across a broad range of sectors. Prior to that he was at Reed Smith where he primarily advised a variety of issuers, investors and intermediaries on floats, secondary offerings and takeovers. He brings with him extensive experience having advised on the recent Aim floats of Angling Direct, Filta Group, Comptoir Group, Everyman Media Group and Elegant Hotels Group."
3-Sep-18,City AM,HNA Group cuts debt by £9bn in sell-off spree,"CHINA'S HNA Group reduced its debt load in the first half of 2018 as the company sold off assets acquired under a high-profile acquisition spree helmed by its former chairman, according to the company's latest financial report. HNA Group's total debt stood at 657.41bn yuan (£74.3bn) at the end of the first half, down 10.7 per cent or $11.6bn (£9bn) from the end of 2017. Despite the reduction, the group's total debt to earnings before interest, tax, depreciation and amortisation ratio was 21.36 times at the end of the first half. The company reported a first-half net profit of 1.3bn yuan. HNA's push to sell off assets follows a $50bn spree led by former cochairman Wang Jian that saw HNA accumulate assets ranging from a stake in Deutsche Bank to highprofile overseas properties. The firm has faced scrutiny over the complex structures used to hold the stakes, including in Germany's biggest bank. Wang died during a business trip in France on 3 July. The conglomerate has since sold off many of those assets under pressure from Beijing, amid broader concerns over debt levels in the Chinese private sector. China's clampdown on aggressive overseas deals has also seen the likes of Dalian Wanda Group offloading billions of dollars worth of assets last year, while Anbang Insurance Group was taken over by the government this year. In early August, HNA Group announced a management reshuffle, in a move to calm worries about leadership at the conglomerate. An aviation-to-financial services conglomerate that counts Hainan Airlines as its core asset, HNA's recent sales include holdings in companies such as Hilton Worldwide Holdings, Park Hotels & Resorts and Spain's NH Hotels."
3-Sep-18,City AM,The Hut Group spurns offers as spree continues,"ONLINE beauty and lifestyle retail company The Hut Group (THG) has rebuffed a series of takeover deals as it looks to expand its own acquisition spending spree, according to reports. A number of offers valuing the firm at almost £4bn have been turned away by the fast-growing technology company, Sky News reported last night. While strategic and financial buyers hoping to snap up THG have been rejected, Sky News also said the e-commerce giant will announce it has bought beauty product maker Acheson & Acheson for between £50m and £100m later this week. The deal is said to add another 380 staff to THG's 3,000-strong workforce, which is expected to double by next year. The reports of further expansion plans come a month after THG secured more than $1bn (£771m) from banks to bolster its overseas growth by buying up more beauty and wellbeing businesses. In 2017 the firm spent more than £160m on strategic deals as part of a plan to widen its portfolio of brands, including skincare brand Espa and make-up business Illamasqua. With brands ranging from sports nutrition supplement Myprotein to haircare product maker Grow Gorgeous, the Manchester-based business is regularly on bankers' lists as a potential candidate for floating. Last year it reported a 47 per cent rise in sales over 12 months, with higher profits spurred by demand throughout international markets, particularly in the US. THG boss Matthew Moulding told Sky News the Acheson & Acheson deal was a ""truly exciting addition"" and ""one that uniquely positions THG to make a step-change in its innovation, operational excellence and manufacturing capacity""."
31-Aug-18,City AM,SSEmerger with Npower gets the initial go-ahead from UK watchdog,"THE COMPETITION and Markets Authority (CMA) yesterday gave provisional clearance to the proposed merger between energy provider Npower and the retail arm of SSE. A further inquiry into the deal was set up in April by the CMA after concerns were raised as to whether the merger might impact the prices of standard variable tariffs (SVTs), the most common and expensive tariff available to UK households. The CMA found that SSE and Npower do not compete closely enough on tariff prices for the merger to warrant further attention. Additionally, households that do choose to switch providers often do not switch between the two firms. Anne Lambert, chair of the CMA's inquiry group, said while the deal was carefully scrutinised, ""our analysis shows that the merger will not impact how SSE and Npower set their SVT prices because they are not close rivals for these customers"". The deal will take Britain's socalled Big Six providers down to five, as Npower, which is owned by German group Innogy, will combine with SSE to make a new listed entity on the London Stock Exchange. A final decision is due in October."
30-Aug-18,City AM,Global M&A total hits $3 trillion on megadeal boom,"THE VALUE of deals announced globally has hit $3 trillion (£2.3 trillion) already this year - the second fastest sprint to the milestone on record. Only in 2007 did the value of mergers and acquisitions across the world reach $3 trillion earlier in the year. The latest Thomson Reuters Deals Intelligence data showed almost 30,000 transactions had already been made in 2018. Among the biggest deals of the year so far has been the long-awaited $26bn merger of Sprint and T-Mobile, sparked by the upgrade to 5G networks. Takeda Pharmaceutical's $62bn acquisition of rare disease specialist Shire, and General Electric's plan to divest $20bn worth of assets from its healthcare unit, also helped global M&A activity hit the $3 trillionmark. Halfway through this year the value of deals was up 64 per cent compared to the same period in 2017. Hernan Cristerna, co-head of Global M&A at JP Morgan Chase, said: ""Companies are moving fast rather than dragging their feet."" It is the fifth consecutive year worldwide mergers and acquisitions activity has exceeded $3 trillion. The total in 2017 hit $3.5 trillion following a flurry of transactions towards the end of the year sparked by Amazon, Facebook and Netflix threatening to muscle into new sectors. Chief executive of investment bank Qatalyst, George Boutros, said that trend had continued into this year. He said: ""The large tech platforms, such as Amazon, Netflix and Alphabet, have become very credible competitors to the media and telecom companies, and are certainly creating a lot of pressure on them."" He added that their increased presence had led to a federal judge to approve AT&T's $85.4bn purchase of Time Warner in June. The deal combines the former's paid-TV subscribers with Time Warner's content, which includes HBO, CNN and Warner Bros."
27-Aug-18,Tech Crunch,VMware acquires CloudHealth Technologies for multi-cloud management,"VMware is hosting its VMworld customer conference in Las Vegas this week, and to get things going it announced that it’s acquiring Boston-based CloudHealth Technologies . They did not disclose the terms of the deal, but Reuters is reporting…"
22-Aug-18,City AM,BEST OF THE BROKERS,"15 Aug 16 Aug 17 Aug 20 Aug 21 Aug Keywords Studios is speeding ahead with the acquisition of Gobo, the UK studio behind popular racing games Pure and Miami Street. The deal will give Keywords, a games development outsourcing firm itself, access to some strong customers such as Ubisoft and Amazon Studios, leading many to view the acquisition as extremely positive for the London company. Brokerage Peel Hunt thinks the move is a ""strategic opportunity"" for Keywords as it grows, and so issued an ""add"" rating for the firm with an upgraded target price of 2,100p. OCADO 1,100 P 1,080 1,079.50 1,060 21 Aug 1,040 1,020 15 Aug 16 Aug 17 Aug 20 Aug 21 Aug Online-only supermarket Ocado was yesterday called the ""best in the world for grocery"" by its new Canadian partner Sobey's, where Ocado is set to power home delivery for its chain of stores by spring 2020. Boosted by research and talks conducted with Sobey's, analysts at Peel Hunt reckon the deal will spell good tidings for Ocado. Confidence was voiced in the retailer's ability to transform as technology advances, plus it continues to receive a favourable UK reception. Peel Hunt maintained its ""buy"" rating, with a target price of 1,700p. A revised outlook which puts full-year profits ahead of previous expectations has powered public transport consultancy Tracsis to full steam ahead, after a strong trading update showed positive momentum across all parts of the group. Analysts at Finncap called Tracsis' closing net cash position for the first half of the year ""very strong"", coming in at £22m compared to their £13.4m estimate, which puts it in a solid position to make further acquisitions this year. The brokerage upgraded its target price from 700p to 725p."
17-Aug-18,City AM,Sunny outlook for On the Beach as acquisition signals offline growth,"ONLINE holiday retailer On the Beach has bought a luxury high-street travel agency in a move into the offline market, as the firm announced yesterday that profits are in line with expectations. The £20m acquisition of Classic Collection came amid stable projections for the year ahead, with shares rising more than 15 per cent during yesterday's trading. Speaking about the acquisition of Classic Collection, On the Beach chief executive Simon Cooper said: ""We operate in a market where circa 60 per cent of bookings are made online and we have never addressed a market that books its holiday off line."" Analysts are expecting the UKbased travel company to report adjusted pre-tax profit in the range of £33.5m to £34.2m for the 12 months to the end of September later this year. While rival firms such as Tui Group and Thomas Cook have been hit by the blistering summer heatwave that has kept holidaygoers in the UK, yesterday's expectations signal a resilience in On the Beach's businesses model. Chief financial officer Paul Meehan said: ""Whereas the tour operators, if they don't sell a holiday, they will have a loss... because they still have to pay the supplier and pay for the aircraft, we don't have costs incurred if we don't sell a holiday""."
17-Aug-18,City AM,Price is right for Asda after fifth period of growth,"ASDA continued its streak of growth yesterday with a fifth consecutive rise in same-store sales ahead of its proposed merger with Sainsbury's. The supermarket posted a 2.4 per cent improvement in net sales in its second-quarter results, fuelled by its online business and a 25 per cent jump in sales of its George clothing brand. Enjoying a 12.5 per cent stake in the market, according to Kantar Worldpanel data, below only Tesco and tie-up partner Sainsbury's, CEO Roger Burnley said this is the first quarter Asda has outperformed the market since 2014. ""We remain focused on delivering our strategic priorities and investing in the areas that matter most to our customers - innovation in our own brand, lowering prices and in continuously improving our shopping experience both in store and online,"" he added. While same-store sales only increased by 0.4 per cent, Asda welcomed 285,000 new customers to its brick and mortar outlets and saw digital sales spike by 13.2 per cent. The results are the latest evidence of a turnaround under new management for the retailer, which came under pressure from cut-price rivals Aldi and Lidl while larger players consolidated their positions. That saw Asda fail to post a rise in same-store sales for three years, seeing its market share slip by over two per cent since 2014, according to Kantar Worldpanel data. However, Sainsbury's proposed £12bn merger with Asda, announced in April, would value the firm at over £7bn and grant parent company Walmart a 42 per cent stake in the tie-up. Together the British supermarket brands would command almost £1 in every £3 spent on groceries. Doug McMillon, president and CEO of Walmart, said: ""We're focused on improving the experience in our stores and providing great value for customers through lower prices, especially within our private label offerings."" Walmart recorded its own strongest sales for a decade yesterday, improving comparable sales by 4.5 per cent to achieve revenue of $128bn (£101bn)."
16-Aug-18,Tech Crunch,Cisco’s $2.35 billion Duo acquisition front and center at earnings call,"When Cisco bought Ann Arbor, Michigan security company, Duo for a whopping $2.35 billion earlier this month, it showed the growing value of security and security startups in the view of traditional tech companies like Cisco."
16-Aug-18,City AM,UK private equity M&A in Europe at an 11-year high,"UK PRIVATE equity-backed acquisitions in Europe are at an 11-year high, reaching $18.2bn (£14.33bn). So far this year 82.7 per cent of UK private equity-backed acquisitions have been in Europe compared to 17.3 per cent within the United Kingdom, according to data collected by Thomson Reuters. Italy and Spain are highly targeted countries with private equity-backed acquisitions in those countries totalling $11.7bn so far this year, the figures show. AJ Bell investment director Russ Mould said the trend was logical as global mergers and acquisition activity is high generally, but he warned that it could be a cause for concern. ""With global M&A activity running at a pace last seen in 2007, it is logical then PE-backed deals are also at an 11-year high,"" he said. ""Whether this is a good thing remains to be seen, given that 2007 'called the top' so far as global financial markets were concerned and you do tend to see investors - and acquirers - taking more risks than they would normally as a market cycle wears on,"" Mould told City A.M. ""That is, after all, what makes a cycle - animal spirits rise, more risks are taken and eventually too much risk is accepted in the search for reward, leading to trouble. ""It is too early to tell whether this stock market cycle is about to go the way of all others but rampant M&A activity, regardless of who the buyers are, can be one early warning signal to note."" Taylor Wessing private equity practice group partner Ed Waldron said: ""We continue to see a strong pipeline of private equity buyouts and secondaries including in the mid-to-uppermid markets where the firm has a lot of experience. ""While few deals are ever fully UK domestic transactions, the majority of the deals we are seeing at the moment have a pan-European angle and usually with opportunities for further European expansion, particularly through acquisition."""
15-Aug-18,Tech Crunch,Coinbase acquires Distributed Systems to build ‘Login with Coinbase’,Coinbase wants to be Facebook Connect for crypto. The blockchain giant plans to develop ‘Login with Coinbase’ or a similar identity platform for decentralized app developers to make it much easier for users to sign up and connect their …
15-Aug-18,City AM,Insurer Esure to go private in £1.2bn takeover,"3.89% CATHERINE NEILAN @CatNeilan INSURER Esure yesterday agreed a £1.207bn takeover by Bain Capital, heralding it as a ""compelling"" offer that will deliver both strategic benefits and shareholder value. The deal, for 280p per share, will result in the firm going private just five years after its float. Chairman Sir Peter Wood - who owns 31 per cent of the company - will remain in place. Wood said: ""I'm pleased to be announcing this transaction today, because it is a great outcome for shareholders, for the company, and for customers."" ""As a private company and with Bain Capital's backing, Esure will be able to invest behind the innovation required to fully realise the opportunities in this market,"" he said. ""I am pleased to be continuing as chairman and am fully aligned with Bain Capital, who I believe will be a tremendous partner in the next phase of Esure's journey."" Esure hailed the deal as one that ""recognises the value created by Esure's strategy to date and the value that this strategy is expected to generate in future"". The deal came just a day after the insurer revealed it had received a takeover bid after its share price spiked in morning trading. Luca Bassi, a managing director at Bain Capital Europe, added: ""Esure's nimble and focused approach, lean structure and strong use of technology positions it to grow in a changing insurance industry: insurance companies with smarter operations and better technology are best placed to meet customers' needs at competitive prices while delivering profitable growth. ""We are committed to investing capital in the best technology for Esure and believe that this, combined with our experience of growing highly regulated, complex financial services businesses can help Esure thrive. We look forward to partnering with Esure's management team to accelerate its growth."" Esure's share price rose nearly four per cent yesterday to 277.6p, having jumped more than 30 per cent after the deal was announced on Monday. BEHIND THE DEAL Mervyn Metcalf - Dean Street Advisers £ METCALF and fellow managing director Graeme Atkinson led a team from boutique investment bank Dean Street advising Bain Capital on the deal. £ THE DEAL was a ""great example of how the City can work very well through longstanding relationships"", Metcalf said, noting that many of the advisers had worked together on previous transactions. £ WHEN NOT DOING DEALS Metcalf collects contemporary art, although having run out of wall space he is also now a ""collector of storage space"", he said. Also advising... £ BOB MORRIS at Cenkos played a key role in the origination of the deal, Metcalf said, and advised Bain alongside Goldman Sachs, Dean Street and law firm Weil, Gotshal and Manges. Deutsche Bank acted for Esure alongside law firm Slaughter and May."
